用户ID,订单编号,商品ID,根类别ID,购买数量,时间戳,孩子出生日期,孩子性别,孩子年龄
513441334,19909384116,50010557,50008168,1,2012-12-12,2011-01-05,男,1.94
377550424,15771663914,50015841,28,1,2012-11-23,2011-06-20,男,1.43
47342027,14066344263,50013636,50008168,1,2012-09-11,2010-10-08,男,1.93
119784861,20796936076,50140021,50008168,1,2012-11-29,2012-03-27,女,0.68
159129426,15198386301,50013711,50008168,2,2012-08-08,2010-08-25,女,1.96
757254614,35900705534,50013711,50008168,1,2013-12-20,2009-05-28,女,4.57
275261625,23062392785,50010558,50008168,1,2013-06-10,2010-05-25,女,3.05
35832151,19178578964,50012451,50008168,1,2014-02-28,2009-04-01,男,4.92
1834895775,43246645145,50010544,50008168,1,2015-01-02,2009-05-15,女,5.64
131021484,15647837835,50006602,50008168,1,2012-09-10,2009-10-08,女,2.93
31795068,20749016489,121394024,50008168,1,2014-12-12,2007-11-24,女,7.05
20995405,36818435772,50013636,50008168,1,2014-07-31,2011-11-14,女,2.71
504804896,36740523560,50012361,122650008,1,2014-11-18,2010-02-20,女,4.75
669302326,8945822711,211122,38,6,2013-05-26,2010-04-06,女,3.14
1027969540,37554024452,50012442,50008168,1,2014-03-26,2013-02-28,女,1.07
419554296,37829194505,50024153,28,1,2014-12-31,2012-07-09,男,2.48
717297456,18852684292,50008727,50014815,1,2013-10-18,2013-06-12,男,0.35
874621830,26692404101,50012359,122650008,1,2013-11-25,2010-12-20,男,2.93
711528325,15799901720,50012451,50008168,1,2014-02-28,2010-11-14,男,3.29
56736746,13725195879,50008817,28,10,2013-01-05,2012-11-05,男,0.17
91177545,38600977799,121466023,50008168,1,2014-10-29,2010-02-03,女,4.74
136997100,35447551022,50013636,50008168,1,2013-11-11,2013-01-13,男,0.83
707774847,35505954971,121472022,50008168,1,2014-12-30,2011-03-31,女,3.75
161512438,36797644528,50012564,50014815,1,2014-04-09,2013-03-04,女,1.1
2104818212,40553447811,121540027,28,1,2014-11-11,2014-03-27,女,0.63
87659835,4600695918,50023732,28,1,2013-04-24,2011-09-30,男,1.57
188799366,23990428301,50012451,50008168,1,2014-03-19,2011-11-30,男,2.3
51587524,22752544214,50010558,50008168,1,2013-04-13,2009-02-02,男,4.19
51150884,41074778874,50007011,50008168,1,2014-09-12,2008-11-29,男,5.79
286307391,12277146635,50004457,50014815,1,2012-11-25,2011-10-09,女,1.13
